,Time,Flux
11710,1946.7001503872543,'5309.8794'
11711,1946.7015393027823,'5327.332'
11712,1946.7029282183107,'5319.7773'
11713,1946.7043171338391,'5310.318'
11714,1946.7057060493678,'5318.438'
11715,1946.707094964897,'5328.5864'
11716,1946.7084838804262,'5323.673'
11717,1946.7098727959547,'5308.911'
11718,1946.711261711483,'5314.7573'
11719,1946.7126506270117,'5302.954'
11720,1946.7140395425401,'5325.508'
11721,1946.7154284580688,'5322.2236'
11722,1946.7168173735972,'5336.0767'
11723,1946.7182062891266,'5328.836'
11724,1946.7195952046557,'5303.8394'
11725,1946.720984120184,'5340.446'
11726,1946.7223730357127,'5324.9033'
11727,1946.7237619512994,'5307.178'
11728,1946.7251508668278,'5319.7153'
11729,1946.7265397823564,'5312.2373'
11730,1946.7279286978849,'5315.8647'
11731,1946.7293176134722,'5316.4355'
11732,1946.7307065290015,'5311.796'
11733,1946.73209544453,'5318.036'
11734,1946.7334843600584,'5317.1777'
11735,1946.7348732756452,'5345.666'
11736,1946.7362621911739,'5319.714'
11737,1946.7376511067605,'5314.7505'
11738,1946.739040022289,'5306.4756'
11739,1946.7404289378183,'5296.5464'
11740,1946.7418178534056,'5314.1025'
11741,1946.7432067689342,'5311.6973'
11742,1946.7445956845208,'5323.0425'
11743,1946.7459846000493,'5306.9614'
11744,1946.747373515636,'5319.117'
11745,1946.7487624312228,'5336.8594'
11746,1946.7501513467512,'5317.6914'
11747,1946.7515402623385,'5307.5635'
11748,1946.7529291778678,'5311.5264'
11749,1946.7543180934545,'5331.208'
11750,1946.7557070090413,'5324.0073'
11751,1946.7570959245697,'5305.7715'
11752,1946.7584848401566,'5309.2026'
11753,1946.7598737557432,'5335.3794'
11754,1946.7612626713308,'5304.977'
11755,1946.7626515868599,'5299.4326'
11756,1946.7640405024465,'5331.4717'
11757,1946.7654294180325,'5300.0547'
11758,1946.7668183336186,'5314.2866'
11759,1946.7682072492053,'5336.286'
11760,1946.769596164792,'5327.6396'
11761,1946.7709850803788,'5322.988'
11762,1946.7723739959079,'5313.804'
11763,1946.7737629114954,'5322.1406'
11764,1946.775151827082,'5312.767'
11765,1946.7765407426687,'5304.7085'
11766,1946.7779296582555,'5318.97'
11767,1946.7793185738421,'5309.7803'
11768,1946.780707489429,'5325.458'
11769,1946.7820964050156,'5313.3896'
11770,1946.7834853206614,'5304.4565'
11771,1946.7848742362487,'5310.638'
11772,1946.7862631518353,'5322.0938'
11773,1946.7876520674222,'5301.5894'
11774,1946.7890409830088,'5292.024'
11775,1946.7904298985954,'5314.408'
11776,1946.7918188142405,'5322.238'
11777,1946.7932077298271,'5351.6367'
11778,1946.7945966454145,'5312.0947'
11779,1946.795985561002,'5322.829'
11780,1946.7973744766468,'5322.5386'
11781,1946.7987633922335,'5335.8335'
11782,1946.8001523078203,'5319.23'
11783,1946.8015412234654,'5317.7466'
11784,1946.802930139052,'5288.3735'
11785,1946.8043190546387,'5306.786'
11786,1946.8057079702844,'5312.4937'
11787,1946.8070968858717,'5307.6816'
11788,1946.8084858015168,'5325.9375'
11789,1946.8112636327483,'5332.349'
11790,1946.8126525483349,'5325.052'
11791,1946.81404146398,'5309.784'
11792,1946.8154303795666,'5299.24'
11793,1946.816819295212,'5300.3877'
11794,1946.8182082108578,'5334.809'
11795,1946.8195971264445,'5295.3867'
11796,1946.8209860420895,'5336.76'
11797,1946.8223749577344,'5316.304'
11798,1946.8237638733212,'5316.987'
11799,1946.825152788966,'5326.814'
11800,1946.8265417046118,'5337.2'
11801,1946.8279306202573,'5313.966'
11802,1946.829319535844,'5307.6377'
11803,1946.8307084514881,'5319.278'
11804,1946.8320973671325,'5311.5044'
11805,1946.8334862827774,'5309.0117'
11806,1946.8348751984222,'5325.8955'
11807,1946.836264114009,'5319.2925'
11808,1946.8376530296546,'5312.297'
11809,1946.8390419453003,'5334.675'
11810,1946.8404308609452,'5322.665'
11811,1946.84181977659,'5328.069'
11812,1946.843208692235,'5307.176'
11813,1946.84459760788,'5311.2134'
11814,1946.845986523525,'5310.5337'
11815,1946.8473754391698,'5313.733'
11816,1946.8487643548156,'5308.825'
11817,1946.850153270461,'5325.3394'
11818,1946.8515421861641,'5315.145'
11819,1946.8529311018092,'5316.9565'
11820,1946.854320017454,'5303.46'
11821,1946.8557089330989,'5329.414'
11822,1946.857097848744,'5332.278'
11823,1946.8584867643888,'5326.597'
11824,1946.8598756800925,'5302.8394'
11825,1946.8612645957382,'5332.2734'
11826,1946.862653511383,'5313.2446'
11827,1946.8640424270864,'5318.736'
11828,1946.8654313427312,'5324.8555'
11829,1946.8668202583763,'5308.8374'
11830,1946.8682091740793,'5315.5327'
11831,1946.8695980897241,'5314.4907'
11832,1946.87098700537,'5312.99'
11833,1946.8723759210736,'5319.508'
11834,1946.8737648367187,'5303.467'
